university,ref_dept_name,StaffFte,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
University of Leicester,Computer Science and Informatics,20,15,50,30,5,0
University of Leicester,General Engineering,30,10,80,9,1,0
University of Leicester,Geography Environmental Studies and Archaeology,19.4,35,39,25,1,0
University of Leicester,Economics and Econometrics,22.4,12,47,31,8,2
University of Leicester,Business and Management Studies,59.6,14,45,34,7,0
University of Leicester,Law,39.53,12,68,20,0,0
University of Leicester,Politics and International Studies,18,8,46,39,7,0
University of Leicester,Social Work and Social Policy,12,4,80,14,2,0
University of Leicester,Sociology,11.5,12,36,50,2,0
University of Leicester,Education,24.1,12,49,33,6,0
University of Leicester,Modern Languages and Linguistics,12,5,44,46,5,0
University of Leicester,English Language and Literature,28.4,30,49,18,3,0
University of Leicester,History,27,30,55,14,1,0
University of Leicester,Art and Design: History Practice and Theory,6.2,27,45,26,2,0
University of Leicester,Communication Cultural and Media Studies Library and Information Management,10.8,52,38,8,2,0
University of Lincoln,Allied Health Professions Dentistry Nursing and Pharmacy,19.4,25,61,14,0,0
University of Lincoln,Psychology Psychiatry and Neuroscience,12.8,13,22,55,8,2
University of Lincoln,Agriculture Veterinary and Food Science,14,31,47,20,2,0
University of Lincoln,Computer Science and Informatics,14.5,10,32,31,19,8
University of Lincoln,General Engineering,12,9,38,45,0,8
University of Lincoln,Architecture Built Environment and Planning,6.2,5,16,47,32,0
University of Lincoln,Business and Management Studies,9.4,13,41,44,2,0
University of Lincoln,Law,4.2,0,43,46,11,0
University of Lincoln,Politics and International Studies,7.3,3,29,50,18,0
University of Lincoln,Social Work and Social Policy,11.2,5,39,52,4,0
University of Lincoln,Education,6.6,12,30,40,18,0
University of Lincoln,Sport and Exercise Sciences Leisure and Tourism,7,12,37,39,12,0
University of Lincoln,English Language and Literature,11,8,38,51,3,0
University of Lincoln,History,11,23,37,38,2,0
University of Lincoln,Art and Design: History Practice and Theory,13.1,10,60,22,8,0
University of Lincoln,Music Drama Dance and Performing Arts,11.2,2,29,46,15,8
University of Lincoln,Communication Cultural and Media Studies Library and Information Management,6.4,12,53,19,14,2
University of Liverpool,Clinical Medicine,143.5,30,50,19,1,0
University of Liverpool,Public Health Health Services and Primary Care,31.3,38,35,22,3,2
University of Liverpool,Psychology Psychiatry and Neuroscience,33,37,43,18,2,0
University of Liverpool,Biological Sciences,18,16,65,19,0,0
University of Liverpool,Agriculture Veterinary and Food Science,54.64,42,40,17,1,0
University of Liverpool,Earth Systems and Environmental Sciences,24.8,17,70,13,0,0
University of Liverpool,Chemistry,34,51,48,1,0,0
University of Liverpool,Physics,34.3,17,73,9,1,0
University of Liverpool,Mathematical Sciences,39.63,13,67,20,0,0
University of Liverpool,Computer Science and Informatics,24,35,62,3,0,0
University of Liverpool,Electrical and Electronic Engineering Metallurgy and Materials,24,12,78,10,0,0
University of Liverpool,General Engineering,34,19,76,5,0,0
University of Liverpool,Architecture Built Environment and Planning,22.2,35,48,17,0,0
University of Liverpool,Geography Environmental Studies and Archaeology,16,31,45,24,0,0
University of Liverpool,Business and Management Studies,45.15,21,52,25,2,0
University of Liverpool,Law,20,11,70,18,1,0
University of Liverpool,Politics and International Studies,5,20,19,44,17,0
University of Liverpool,Social Work and Social Policy,18,14,60,26,0,0
University of Liverpool,Modern Languages and Linguistics,21,26,46,25,3,0
University of Liverpool,English Language and Literature,28.3,36,49,12,3,0
University of Liverpool,History,23,34,40,25,1,0
University of Liverpool,Classics,8.5,17,51,26,6,0
University of Liverpool,Philosophy,8,17,45,38,0,0
University of Liverpool,Music Drama Dance and Performing Arts,9,32,40,24,4,0
University of Liverpool,Communication Cultural and Media Studies Library and Information Management,7.5,18,45,22,15,0
Liverpool Hope University,Psychology Psychiatry and Neuroscience,10.8,2,20,64,14,0
Liverpool Hope University,Computer Science and Informatics,7,0,30,50,20,0
Liverpool Hope University,Geography Environmental Studies and Archaeology,4.2,0,7,42,34,17
Liverpool Hope University,Politics and International Studies,7,0,24,34,36,6
Liverpool Hope University,Social Work and Social Policy,6.2,3,45,16,34,2
Liverpool Hope University,Education,12.2,15,38,34,13,0
Liverpool Hope University,Sport and Exercise Sciences Leisure and Tourism,8.6,4,26,32,36,2
Liverpool Hope University,English Language and Literature,14.2,21,28,36,15,0
Liverpool Hope University,History,10.6,4,37,45,14,0
Liverpool Hope University,Theology and Religious Studies,14.9,9,37,38,14,2
Liverpool Hope University,Music Drama Dance and Performing Arts,7.75,4,43,52,1,0
Liverpool John Moores University,Allied Health Professions Dentistry Nursing and Pharmacy,34.5,10,58,30,1,1
Liverpool John Moores University,Psychology Psychiatry and Neuroscience,9.7,10,45,41,4,0
Liverpool John Moores University,Physics,22.71,23,58,18,1,0
Liverpool John Moores University,Computer Science and Informatics,9.7,0,48,46,4,2
Liverpool John Moores University,Aeronautical Mechanical Chemical and Manufacturing Engineering,13,2,43,53,2,0
Liverpool John Moores University,Electrical and Electronic Engineering Metallurgy and Materials,7,0,71,27,2,0
Liverpool John Moores University,General Engineering,11,0,58,31,9,2
Liverpool John Moores University,Architecture Built Environment and Planning,17.2,7,45,38,10,0
Liverpool John Moores University,Law,7,0,51,46,3,0
Liverpool John Moores University,Social Work and Social Policy,8,9,54,35,2,0
Liverpool John Moores University,Anthropology and Development Studies,13.2,18,35,33,6,8
Liverpool John Moores University,Education,12.8,10,51,36,0,3
Liverpool John Moores University,Sport and Exercise Sciences Leisure and Tourism,34.75,61,36,2,1,0
Liverpool John Moores University,English Language and Literature,13.4,22,46,30,2,0
Liverpool John Moores University,History,7,6,50,35,9,0
Liverpool John Moores University,Art and Design: History Practice and Theory,8.6,13,51,34,2,0
Liverpool John Moores University,Communication Cultural and Media Studies Library and Information Management,13,12,46,35,7,0
Liverpool School of Tropical Medicine,Clinical Medicine,31,30,50,19,1,0
Liverpool School of Tropical Medicine,Public Health Health Services and Primary Care,4.2,39,41,19,1,0
University of the Arts   London,Art and Design: History Practice and Theory,109.7,31,52,15,2,0
University of London Institute in Paris,Modern Languages and Linguistics,3,0,22,25,38,15
University College London,Clinical Medicine,449.74,43,37,18,1,1
University College London,Public Health Health Services and Primary Care,159.75,46,35,17,1,1
University College London,Allied Health Professions Dentistry Nursing and Pharmacy,46.8,47,40,13,0,0
University College London,Psychology Psychiatry and Neuroscience,286.6,51,32,14,2,1
University College London,Biological Sciences,172.9,46,36,16,1,1
University College London,Earth Systems and Environmental Sciences,34.15,34,58,7,1,0
University College London,Chemistry,62,37,57,5,1,0
University College London,Physics,110.53,23,67,9,1,0
University College London,Mathematical Sciences,62.95,27,55,17,1,0
University College London,Computer Science and Informatics,70.7,61,35,4,0,0
University College London,Aeronautical Mechanical Chemical and Manufacturing Engineering,54.16,23,67,9,1,0
University College London,Electrical and Electronic Engineering Metallurgy and Materials,38,40,57,3,0,0
University College London,Civil and Construction Engineering,38.1,11,49,29,10,1
University College London,General Engineering,53.7,41,54,5,0,0
University College London,Architecture Built Environment and Planning,135.93,46,35,17,2,0
University College London,Geography Environmental Studies and Archaeology,60.93,42,31,22,5,0
University College London,Economics and Econometrics,36.9,79,20,1,0,0
University College London,Business and Management Studies,13,46,24,20,7,3
University College London,Law,47.04,50,34,14,2,0
University College London,Politics and International Studies,30,41,48,10,0,1
University College London,Social Work and Social Policy,12.8,31,53,16,0,0
University College London,Anthropology and Development Studies,31.37,40,28,18,11,3
University College London,Education,219,48,30,18,3,1
University College London,Area Studies,39.36,43,21,32,4,0
University College London,Modern Languages and Linguistics,48.47,32,42,21,4,1
University College London,English Language and Literature,28.4,52,33,14,1,0
University College London,History,42.2,42,40,16,2,0
University College London,Classics,13,26,50,22,2,0
University College London,Philosophy,23.95,46,29,24,1,0
University College London,Theology and Religious Studies,7,37,41,22,0,0
University College London,Art and Design: History Practice and Theory,17,37,48,15,0,0
University College London,Communication Cultural and Media Studies Library and Information Management,17.35,29,39,21,11,0
London Business School,Business and Management Studies,98.83,56,26,12,3,3
London School of Economics and Political Science,Mathematical Sciences,31.04,13,69,18,0,0
London School of Economics and Political Science,Geography Environmental Studies and Archaeology,36.2,43,42,12,3,0
London School of Economics and Political Science,Economics and Econometrics,51.4,69,24,3,1,3
London School of Economics and Political Science,Business and Management Studies,80.77,59,31,8,1,1
London School of Economics and Political Science,Law,62.87,53,35,11,1,0
London School of Economics and Political Science,Politics and International Studies,62.25,54,38,7,1,0
London School of Economics and Political Science,Social Work and Social Policy,47.2,71,25,4,0,0
London School of Economics and Political Science,Sociology,24.75,34,46,19,0,1
London School of Economics and Political Science,Anthropology and Development Studies,22.5,31,50,15,4,0
London School of Economics and Political Science,Area Studies,19.65,55,30,15,0,0
London School of Economics and Political Science,History,44,34,48,17,1,0
London School of Economics and Political Science,Philosophy,16.5,38,45,17,0,0
London School of Economics and Political Science,Communication Cultural and Media Studies Library and Information Management,14,65,29,6,0,0
London School of Hygiene & Tropical Medicine,Clinical Medicine,56.5,40,35,23,1,1
London School of Hygiene & Tropical Medicine,Public Health Health Services and Primary Care,257.16,43,37,19,1,0
London Metropolitan University,Allied Health Professions Dentistry Nursing and Pharmacy,11,9,50,30,11,0
London Metropolitan University,Mathematical Sciences,3.9,4,40,54,2,0
London Metropolitan University,Computer Science and Informatics,5.4,0,19,37,33,11
London Metropolitan University,Architecture Built Environment and Planning,12,3,36,41,20,0
London Metropolitan University,Business and Management Studies,4,7,31,48,14,0
London Metropolitan University,Law,2,0,16,17,55,12
London Metropolitan University,Politics and International Studies,4,0,17,51,32,0
London Metropolitan University,Social Work and Social Policy,9.7,19,49,27,5,0
London Metropolitan University,Education,3.8,15,38,44,3,0
London Metropolitan University,Area Studies,8.5,35,42,20,3,0
London Metropolitan University,Art and Design: History Practice and Theory,8.6,9,44,38,9,0
London Metropolitan University,Communication Cultural and Media Studies Library and Information Management,7.3,13,38,33,8,8
London South Bank University,Allied Health Professions Dentistry Nursing and Pharmacy,14.6,9,52,36,3,0
London South Bank University,Psychology Psychiatry and Neuroscience,9.8,4,30,53,13,0
London South Bank University,General Engineering,33.5,4,53,41,2,0
London South Bank University,Business and Management Studies,9.25,2,16,49,29,4
London South Bank University,Social Work and Social Policy,14.9,9,54,32,5,0
London South Bank University,Sport and Exercise Sciences Leisure and Tourism,9.4,16,57,25,2,0
London South Bank University,Communication Cultural and Media Studies Library and Information Management,10.2,1,57,28,11,3
Loughborough University,Chemistry,22.65,6,61,31,1,1
Loughborough University,Physics,19.7,4,46,48,2,0
Loughborough University,Mathematical Sciences,33.8,10,69,18,3,0
Loughborough University,Computer Science and Informatics,17.2,6,44,45,5,0
Loughborough University,Aeronautical Mechanical Chemical and Manufacturing Engineering,127.4,26,57,16,1,0
Loughborough University,Electrical and Electronic Engineering Metallurgy and Materials,37.6,4,64,26,5,1
Loughborough University,Civil and Construction Engineering,31.9,8,57,27,8,0
Loughborough University,Architecture Built Environment and Planning,32.2,44,43,10,3,0
Loughborough University,Geography Environmental Studies and Archaeology,30.2,9,46,42,3,0
Loughborough University,Business and Management Studies,60.5,24,51,23,2,0
Loughborough University,Social Work and Social Policy,10.46,30,38,30,2,0
Loughborough University,Education,7.7,28,57,15,0,0
Loughborough University,Sport and Exercise Sciences Leisure and Tourism,68.1,44,38,16,2,0
Loughborough University,Area Studies,23.5,9,42,40,9,0
Loughborough University,English Language and Literature,20.5,21,46,25,8,0
Loughborough University,Art and Design: History Practice and Theory,54.73,38,37,21,3,1
Loughborough University,Communication Cultural and Media Studies Library and Information Management,30.7,50,37,11,2,0
University of Manchester,Clinical Medicine,136.18,36,49,14,0,1
University of Manchester,Public Health Health Services and Primary Care,33.33,17,49,30,3,1
University of Manchester,Allied Health Professions Dentistry Nursing and Pharmacy,112.65,51,37,11,1,0
University of Manchester,Psychology Psychiatry and Neuroscience,67.7,42,41,15,2,0
University of Manchester,Biological Sciences,144.55,37,41,20,1,1
University of Manchester,Earth Systems and Environmental Sciences,42.13,29,62,8,0,1
University of Manchester,Chemistry,52.4,33,59,7,1,0
University of Manchester,Physics,64.9,38,54,7,1,0
University of Manchester,Mathematical Sciences,54.4,38,52,9,1,0
University of Manchester,Computer Science and Informatics,44.86,48,46,6,0,0
University of Manchester,Electrical and Electronic Engineering Metallurgy and Materials,44,35,49,16,0,0
University of Manchester,Civil and Construction Engineering,21.85,30,60,9,1,0
University of Manchester,Architecture Built Environment and Planning,17.6,31,44,24,1,0
University of Manchester,Geography Environmental Studies and Archaeology,27.2,24,49,25,2,0
University of Manchester,Economics and Econometrics,33.2,17,58,22,3,0
University of Manchester,Business and Management Studies,121.63,37,37,22,4,0
University of Manchester,Law,40.8,20,58,20,2,0
University of Manchester,Politics and International Studies,36.66,20,54,24,2,0
University of Manchester,Sociology,48.6,42,42,16,0,0
University of Manchester,Anthropology and Development Studies,26.25,37,41,19,2,1
University of Manchester,Education,33.1,36,42,19,3,0
University of Manchester,Modern Languages and Linguistics,72.5,41,39,16,3,1
University of Manchester,English Language and Literature,34.25,38,45,15,2,0
University of Manchester,History,25.2,42,40,18,0,0
University of Manchester,Classics,14,21,50,26,1,2
University of Manchester,Philosophy,12.7,20,53,23,1,3
University of Manchester,Theology and Religious Studies,14.5,28,47,20,4,1
University of Manchester,Art and Design: History Practice and Theory,11.5,42,43,14,1,0
University of Manchester,Music Drama Dance and Performing Arts,12.5,55,32,13,0,0
Manchester Metropolitan University,Allied Health Professions Dentistry Nursing and Pharmacy,61.4,19,54,24,2,1
Manchester Metropolitan University,Earth Systems and Environmental Sciences,24,5,49,45,1,0
Manchester Metropolitan University,Computer Science and Informatics,11.5,4,55,30,3,8
Manchester Metropolitan University,General Engineering,21.3,7,57,34,2,0
Manchester Metropolitan University,Business and Management Studies,25.9,13,47,28,11,1
Manchester Metropolitan University,Social Work and Social Policy,14.45,8,52,36,4,0
Manchester Metropolitan University,Sociology,21.25,18,49,31,2,0
Manchester Metropolitan University,Education,22.5,23,44,31,2,0
Manchester Metropolitan University,English Language and Literature,22.95,33,45,18,4,0
Manchester Metropolitan University,History,14.2,16,51,32,1,0
Manchester Metropolitan University,Philosophy,8,4,35,44,17,0
Manchester Metropolitan University,Art and Design: History Practice and Theory,54.65,14,52,28,6,0
Manchester Metropolitan University,Music Drama Dance and Performing Arts,10.6,5,42,39,12,2
Middlesex University,Allied Health Professions Dentistry Nursing and Pharmacy,14.8,11,56,31,1,1
Middlesex University,Psychology Psychiatry and Neuroscience,13.1,4,54,37,5,0
Middlesex University,Computer Science and Informatics,53.1,6,39,36,16,3
Middlesex University,Geography Environmental Studies and Archaeology,14.92,11,35,44,8,2
Middlesex University,Business and Management Studies,39.95,17,48,28,4,3
Middlesex University,Law,20,14,51,32,3,0
Middlesex University,Social Work and Social Policy,51.4,12,46,33,6,3
Middlesex University,Art and Design: History Practice and Theory,23.59,21,57,21,1,0
Middlesex University,Music Drama Dance and Performing Arts,21.39,20,28,35,16,1
Middlesex University,Communication Cultural and Media Studies Library and Information Management,19.6,7,53,27,13,0
Newcastle University,Clinical Medicine,147.13,38,46,14,2,0
Newcastle University,Public Health Health Services and Primary Care,27.22,25,49,24,2,0
Newcastle University,Allied Health Professions Dentistry Nursing and Pharmacy,19,41,49,10,0,0
Newcastle University,Psychology Psychiatry and Neuroscience,51.58,51,36,12,1,0
Newcastle University,Biological Sciences,30.6,50,42,7,0,1
Newcastle University,Agriculture Veterinary and Food Science,25.4,19,47,33,1,0
Newcastle University,Earth Systems and Environmental Sciences,24.6,25,59,16,0,0
Newcastle University,Chemistry,24.2,8,75,17,0,0
Newcastle University,Mathematical Sciences,20.4,29,59,11,1,0
Newcastle University,Computer Science and Informatics,27.5,46,41,13,0,0
Newcastle University,Aeronautical Mechanical Chemical and Manufacturing Engineering,43.45,21,60,19,0,0
Newcastle University,Electrical and Electronic Engineering Metallurgy and Materials,31.2,27,63,6,0,4
Newcastle University,Civil and Construction Engineering,40.6,30,58,12,0,0
Newcastle University,Architecture Built Environment and Planning,41.8,28,57,15,0,0
Newcastle University,Geography Environmental Studies and Archaeology,27.2,35,47,18,0,0
Newcastle University,Business and Management Studies,60.2,18,39,40,3,0
Newcastle University,Law,21,14,56,27,3,0
Newcastle University,Politics and International Studies,20.6,14,38,44,4,0
Newcastle University,Sociology,18.5,23,49,25,3,0
Newcastle University,Education,16.7,21,50,25,4,0
Newcastle University,Modern Languages and Linguistics,49.97,35,39,22,3,1
Newcastle University,English Language and Literature,32.1,57,32,11,0,0
Newcastle University,History,23.9,20,42,37,1,0
Newcastle University,Classics,10.2,29,47,22,0,2
Newcastle University,Art and Design: History Practice and Theory,16.25,24,59,13,4,0
Newcastle University,Music Drama Dance and Performing Arts,13.6,36,36,26,2,0
Newcastle University,Communication Cultural and Media Studies Library and Information Management,14.35,42,40,16,2,0
Newman University,Psychology Psychiatry and Neuroscience,3,0,12,47,21,20
Newman University,Education,7.4,11,26,53,10,0
Newman University,Sport and Exercise Sciences Leisure and Tourism,4,0,17,64,19,0
Newman University,English Language and Literature,4.5,4,39,38,19,0
Newman University,History,2.4,7,39,44,10,0
Newman University,Theology and Religious Studies,2,0,26,28,45,1
University of Northampton,Allied Health Professions Dentistry Nursing and Pharmacy,13.4,5,19,62,13,1
University of Northampton,Psychology Psychiatry and Neuroscience,8,0,4,37,32,27
University of Northampton,Aeronautical Mechanical Chemical and Manufacturing Engineering,6.75,0,18,67,15,0
University of Northampton,Geography Environmental Studies and Archaeology,9.5,5,31,47,17,0
University of Northampton,Business and Management Studies,11.8,0,18,56,20,6
University of Northampton,Education,14.6,2,25,42,31,0
University of Northampton,English Language and Literature,12,3,52,33,12,0
University of Northampton,History,8,19,48,33,0,0
University of Northampton,Art and Design: History Practice and Theory,10.2,5,20,49,26,0
University of Northumbria at Newcastle,Allied Health Professions Dentistry Nursing and Pharmacy,44.2,31,50,19,0,0
University of Northumbria at Newcastle,Psychology Psychiatry and Neuroscience,19.3,22,33,38,6,1
University of Northumbria at Newcastle,Mathematical Sciences,14,5,46,43,6,0
University of Northumbria at Newcastle,Computer Science and Informatics,13,6,36,46,12,0
University of Northumbria at Newcastle,General Engineering,23,12,56,32,0,0
University of Northumbria at Newcastle,Architecture Built Environment and Planning,18.2,10,38,46,6,0
University of Northumbria at Newcastle,Geography Environmental Studies and Archaeology,19,8,44,43,5,0
University of Northumbria at Newcastle,Business and Management Studies,23.2,11,35,51,3,0
University of Northumbria at Newcastle,Law,13.7,3,43,53,1,0
University of Northumbria at Newcastle,Social Work and Social Policy,30.6,5,46,42,7,0
University of Northumbria at Newcastle,Sport and Exercise Sciences Leisure and Tourism,13.8,2,36,50,12,0
University of Northumbria at Newcastle,English Language and Literature,29,26,46,25,3,0
University of Northumbria at Newcastle,History,20,23,46,27,4,0
University of Northumbria at Newcastle,Art and Design: History Practice and Theory,40.7,24,44,18,14,0
University of Northumbria at Newcastle,Communication Cultural and Media Studies Library and Information Management,13.6,27,44,24,5,0
Norwich University of the Arts,Art and Design: History Practice and Theory,7.45,19,36,40,5,0
University of Nottingham,Clinical Medicine,103.7,34,47,17,1,1
University of Nottingham,Public Health Health Services and Primary Care,33.02,38,44,16,2,0
University of Nottingham,Allied Health Professions Dentistry Nursing and Pharmacy,44.1,51,42,6,0,1
University of Nottingham,Psychology Psychiatry and Neuroscience,53.2,38,44,17,1,0
University of Nottingham,Biological Sciences,90.86,23,50,22,2,3
University of Nottingham,Agriculture Veterinary and Food Science,111.45,37,43,17,1,2
University of Nottingham,Chemistry,42,27,68,5,0,0
University of Nottingham,Physics,54.56,37,59,4,0,0
University of Nottingham,Mathematical Sciences,54.85,32,56,11,1,0
University of Nottingham,Computer Science and Informatics,42.85,37,51,11,1,0
University of Nottingham,General Engineering,149.1,27,62,11,0,0
University of Nottingham,Architecture Built Environment and Planning,24,10,55,26,8,1
University of Nottingham,Geography Environmental Studies and Archaeology,40.9,26,47,20,7,0
University of Nottingham,Economics and Econometrics,35,18,71,10,0,1
University of Nottingham,Business and Management Studies,89.2,28,41,26,5,0
University of Nottingham,Law,45.53,37,44,18,1,0
University of Nottingham,Politics and International Studies,33.3,16,52,28,3,1
University of Nottingham,Social Work and Social Policy,33,40,38,18,3,1
University of Nottingham,Education,24.6,55,29,15,0,1
University of Nottingham,Area Studies,19.5,31,42,21,5,1
University of Nottingham,Modern Languages and Linguistics,57.7,26,43,28,3,0
University of Nottingham,English Language and Literature,41.95,48,34,16,1,1
University of Nottingham,History,29,28,38,32,2,0
University of Nottingham,Classics,14,38,42,16,4,0
University of Nottingham,Philosophy,13,11,58,31,0,0
University of Nottingham,Theology and Religious Studies,15.71,30,44,23,3,0
University of Nottingham,Art and Design: History Practice and Theory,9,23,34,33,2,8
University of Nottingham,Music Drama Dance and Performing Arts,10.5,45,39,16,0,0
University of Nottingham,Communication Cultural and Media Studies Library and Information Management,16,40,43,17,0,0
Nottingham Trent University,Allied Health Professions Dentistry Nursing and Pharmacy,23.8,30,56,14,0,0
Nottingham Trent University,Psychology Psychiatry and Neuroscience,21.8,25,42,31,1,1
Nottingham Trent University,Computer Science and Informatics,14.25,6,28,42,24,0
Nottingham Trent University,General Engineering,14.4,25,59,16,0,0
Nottingham Trent University,Architecture Built Environment and Planning,11.2,9,33,43,13,2
Nottingham Trent University,Geography Environmental Studies and Archaeology,11.81,0,25,64,11,0
Nottingham Trent University,Business and Management Studies,23,11,48,36,5,0
Nottingham Trent University,Law,13,4,36,53,7,0
Nottingham Trent University,Social Work and Social Policy,9.52,11,26,49,14,0
Nottingham Trent University,Education,20.9,6,15,45,28,6
Nottingham Trent University,Sport and Exercise Sciences Leisure and Tourism,12.81,0,34,62,4,0
Nottingham Trent University,Modern Languages and Linguistics,8.59,23,29,38,9,1
Nottingham Trent University,English Language and Literature,20,19,51,22,8,0
Nottingham Trent University,History,8.25,11,56,31,2,0
Nottingham Trent University,Art and Design: History Practice and Theory,20.9,15,49,23,6,7
Nottingham Trent University,Communication Cultural and Media Studies Library and Information Management,11.7,20,45,31,4,0
Open University,Allied Health Professions Dentistry Nursing and Pharmacy,17,16,61,22,1,0
Open University,Earth Systems and Environmental Sciences,58.01,11,66,22,1,0
Open University,Mathematical Sciences,18.8,9,53,33,0,5
Open University,Computer Science and Informatics,31.1,13,62,24,1,0
Open University,Electrical and Electronic Engineering Metallurgy and Materials,18,8,77,15,0,0
Open University,Geography Environmental Studies and Archaeology,13,23,53,21,3,0
Open University,Business and Management Studies,17.9,19,53,25,3,0
Open University,Social Work and Social Policy,18.6,15,54,29,2,0
Open University,Sociology,37,22,42,36,0,0
Open University,Anthropology and Development Studies,22.1,24,45,27,4,0
Open University,Education,54.26,38,31,26,5,0
Open University,English Language and Literature,16.5,26,50,23,1,0
Open University,History,14.3,27,49,23,1,0
Open University,Classics,11.8,16,39,42,3,0
Open University,Philosophy,8,6,31,59,4,0
Open University,Theology and Religious Studies,6,18,35,47,0,0
Open University,Art and Design: History Practice and Theory,23.2,29,57,12,2,0
Open University,Music Drama Dance and Performing Arts,10.6,44,50,6,0,0
School of Oriental and African Studies,Business and Management Studies,22.7,14,44,37,2,3
School of Oriental and African Studies,Law,21.7,28,45,19,6,2
School of Oriental and African Studies,Politics and International Studies,24.6,27,38,30,4,1
School of Oriental and African Studies,Anthropology and Development Studies,18,25,34,38,2,1
School of Oriental and African Studies,Area Studies,46.95,19,47,27,7,0
School of Oriental and African Studies,Modern Languages and Linguistics,12.35,27,39,26,7,1
School of Oriental and African Studies,History,17.2,15,35,44,5,1
School of Oriental and African Studies,Theology and Religious Studies,14.3,29,49,20,1,1
School of Oriental and African Studies,Art and Design: History Practice and Theory,9.75,35,46,19,0,0
School of Oriental and African Studies,Music Drama Dance and Performing Arts,8,44,48,8,0,0
University of Oxford,Clinical Medicine,238.51,53,39,8,0,0
University of Oxford,Public Health Health Services and Primary Care,47.7,57,35,7,1,0
University of Oxford,Psychology Psychiatry and Neuroscience,98.3,67,28,5,0,0
University of Oxford,Biological Sciences,223.8,47,46,7,0,0
University of Oxford,Earth Systems and Environmental Sciences,36.45,43,51,5,1,0
University of Oxford,Chemistry,83.9,49,47,3,0,1
University of Oxford,Physics,124.7,43,49,7,1,0
University of Oxford,Mathematical Sciences,148.6,59,37,4,0,0
University of Oxford,Computer Science and Informatics,73.5,53,34,9,2,2
University of Oxford,Electrical and Electronic Engineering Metallurgy and Materials,34.12,60,38,2,0,0
University of Oxford,General Engineering,93.79,55,41,4,0,0
University of Oxford,Geography Environmental Studies and Archaeology,53.85,41,42,16,1,0
University of Oxford,Economics and Econometrics,83.9,56,33,10,1,0
University of Oxford,Business and Management Studies,42.1,51,36,11,2,0
University of Oxford,Law,108.88,40,44,15,1,0
University of Oxford,Politics and International Studies,76.65,54,27,15,4,0
University of Oxford,Social Work and Social Policy,27.4,79,14,7,0,0
University of Oxford,Sociology,32.85,37,45,18,0,0
University of Oxford,Anthropology and Development Studies,44.13,40,39,20,1,0
University of Oxford,Education,39.22,65,27,8,0,0
University of Oxford,Area Studies,71.1,36,40,19,5,0
University of Oxford,Modern Languages and Linguistics,116.75,27,43,23,5,2
University of Oxford,English Language and Literature,87.79,42,42,16,0,0
University of Oxford,History,130.05,45,37,17,1,0
University of Oxford,Classics,68.65,47,34,17,2,0
University of Oxford,Philosophy,71.5,51,31,16,2,0
University of Oxford,Theology and Religious Studies,32.7,34,38,24,4,0
University of Oxford,Art and Design: History Practice and Theory,9,22,53,20,5,0
University of Oxford,Music Drama Dance and Performing Arts,20.25,55,34,10,1,0
Oxford Brookes University,Allied Health Professions Dentistry Nursing and Pharmacy,10.2,18,64,16,0,2
Oxford Brookes University,Psychology Psychiatry and Neuroscience,14.7,8,46,41,5,0
Oxford Brookes University,Biological Sciences,25.6,13,46,36,5,0
Oxford Brookes University,Computer Science and Informatics,13,20,39,25,8,8
Oxford Brookes University,General Engineering,25.9,3,54,39,4,0
Oxford Brookes University,Architecture Built Environment and Planning,32.19,23,46,28,3,0
Oxford Brookes University,Geography Environmental Studies and Archaeology,13.7,7,32,53,8,0
Oxford Brookes University,Business and Management Studies,23.5,11,47,38,4,0
Oxford Brookes University,Law,9,0,34,60,6,0
Oxford Brookes University,Politics and International Studies,14.6,11,33,39,16,1
Oxford Brookes University,Education,10.5,11,26,46,16,1
Oxford Brookes University,English Language and Literature,14.7,20,65,15,0,0
Oxford Brookes University,History,28.75,25,53,20,2,0
Oxford Brookes University,Philosophy,6.3,9,21,61,9,0
Oxford Brookes University,Art and Design: History Practice and Theory,7.9,7,38,40,15,0
Oxford Brookes University,Music Drama Dance and Performing Arts,11.65,26,31,41,2,0
Oxford Brookes University,Communication Cultural and Media Studies Library and Information Management,7.3,11,43,27,16,3
University of Plymouth,Clinical Medicine,14.5,37,42,21,0,0
University of Plymouth,Allied Health Professions Dentistry Nursing and Pharmacy,34.9,14,49,27,1,9
University of Plymouth,Psychology Psychiatry and Neuroscience,30.8,21,62,17,0,0
University of Plymouth,Agriculture Veterinary and Food Science,24.45,13,40,42,4,1
University of Plymouth,Earth Systems and Environmental Sciences,44.92,14,71,14,1,0
University of Plymouth,Mathematical Sciences,14.4,7,45,39,1,8
University of Plymouth,Computer Science and Informatics,12.4,15,66,18,1,0
University of Plymouth,Electrical and Electronic Engineering Metallurgy and Materials,7.8,16,49,35,0,0
University of Plymouth,General Engineering,17.2,8,58,32,2,0
University of Plymouth,Architecture Built Environment and Planning,12.95,7,37,50,6,0
University of Plymouth,Geography Environmental Studies and Archaeology,29.2,17,47,30,6,0
University of Plymouth,Business and Management Studies,32.6,8,41,43,7,1
University of Plymouth,Social Work and Social Policy,22.02,17,45,36,2,0
University of Plymouth,Education,24,9,45,35,11,0
University of Plymouth,English Language and Literature,10.97,22,34,35,9,0
University of Plymouth,History,11,9,47,42,2,0
University of Plymouth,Art and Design: History Practice and Theory,13.75,17,55,24,3,1
